x y
3.970045703173904599e+02 4.014464806990947636e+02
4.009917065654482826e+02 3.984267452010001875e+02
4.049786765609673580e+02 3.954069893038648615e+02
4.089655278314332918e+02 3.923872643752492877e+02
4.129516970202481616e+02 3.893668365708089141e+02
4.169384670397409423e+02 3.863473297839338443e+02
4.209253088228652473e+02 3.833279338674058181e+02
4.249122434392891137e+02 3.803086274325254408e+02
4.288992590685709274e+02 3.772894134543120686e+02
4.328863589630437332e+02 3.742702849211379998e+02
4.368729306487275608e+02 3.712504412578323354e+02
4.408601825782307060e+02 3.682314728143081197e+02
4.448475088252872069e+02 3.652125767778484828e+02
4.488349043872601101e+02 3.621937496785997155e+02
4.528223642686118069e+02 3.591749895136596820e+02
4.568092813269446992e+02 3.561554949267621168e+02
4.607968645085408070e+02 3.531368523631156222e+02
4.647845016679643209e+02 3.501182647596189099e+02
4.687721931827991853e+02 3.470997273011010407e+02
4.727599361234897515e+02 3.440812331706488294e+02
4.767477246330442995e+02 3.410627807866080161e+02
4.807349474223030938e+02 3.380435724317491122e+02
4.847228195956491277e+02 3.350251921397826891e+02
4.887107278982724097e+02 3.320068401672454570e+02
4.926986698668535496e+02 3.289885148681294140e+02
4.966866427960944179e+02 3.259702092541763250e+02
5.006746415473103298e+02 3.229519229584113873e+02
5.046620585979975999e+02 3.199328543876465574e+02
5.086501038196688569e+02 3.169145898073068111e+02
5.126381650876384128e+02 3.138963316108256549e+02
5.166262420981311152e+02 3.108780742667472055e+02
5.206143306941195306e+02 3.078598131315559954e+02
5.246024257230665171e+02 3.048415458486044258e+02
5.285899195032743592e+02 3.018224727095592357e+02
5.325780201682180177e+02 2.988041807796452645e+02
5.365661200652234584e+02 2.957858703283017690e+02
5.405542168507915903e+02 2.927675348541880567e+02
5.445423029465218860e+02 2.897491743256655923e+02
5.485303778321061827e+02 2.867307836128720737e+02
5.525178331554582201e+02 2.837115617555629115e+02
5.565058717002389130e+02 2.806931014303990537e+02
5.604938867996114595e+02 2.776746104446646086e+02
5.644818746492612718e+02 2.746560909395706176e+02
5.684698409856436001e+02 2.716375445893731353e+02
5.724577850692409129e+02 2.686189694316780674e+02
5.764450985386393995e+02 2.655995770948804875e+02
5.804330006714793626e+02 2.625809539529379322e+02
5.844208803499617488e+02 2.595623094482775741e+02
5.884087415688334204e+02 2.565436448214145457e+02
5.923965859038959252e+02 2.535249591055280121e+02
5.963844127170427782e+02 2.505062543151012449e+02
6.003716142317894082e+02 2.474867393412918943e+02
6.043594090954420608e+02 2.444680025663074900e+02
6.083471893740553469e+02 2.414492500015108192e+02
6.123349533202042494e+02 2.384304867449645542e+02
6.163227067540251483e+02 2.354117108795308013e+02
6.203104473649477768e+02 2.323929244060292376e+02
6.242975701095390377e+02 2.293733344194662607e+02
6.282852903163696965e+02 2.263545305453326364e+02
6.322729998425149915e+02 2.233357204819124604e+02
6.362607018054860646e+02 2.203169056121842857e+02
6.402483958237861543e+02 2.172980862274950198e+02
