x y
3.879432688596007779e+02 3.895856927028838754e+02
3.919057558348817452e+02 3.865344512540058872e+02
3.958682454374306303e+02 3.834830603899836774e+02
3.998307860649280769e+02 3.804315708002505971e+02
4.037934340408986031e+02 3.773800336525543457e+02
4.077568191032477785e+02 3.743293134263859088e+02
4.117196975583806875e+02 3.712778875086902417e+02
4.156826488243859785e+02 3.682265663813408310e+02
4.196456769278237857e+02 3.651753409118329614e+02
4.236087744897978951e+02 3.621242122084547645e+02
4.275719390328113718e+02 3.590731721074581060e+02
4.315351701798250588e+02 3.560222176048540632e+02
4.354984607509786088e+02 3.529713468925687039e+02
4.394624167515447652e+02 3.499213481402551338e+02
4.434258192729917596e+02 3.468706298738699161e+02
4.473892734885000664e+02 3.438199814261557776e+02
4.513527743089821911e+02 3.407693998646177533e+02
4.553163210018547602e+02 3.377188794573585824e+02
4.592799091418983153e+02 3.346684190559138301e+02
4.632435336421422107e+02 3.316180134898038432e+02
4.672077992719139843e+02 3.285684531094553904e+02
4.711714907595004433e+02 3.255181431912521930e+02
4.751352095315431825e+02 3.224678781651042527e+02
4.790989520128842400e+02 3.194176509427929886e+02
4.830627166820681850e+02 3.163674591586958513e+02
4.870264982244145813e+02 3.133172978163196376e+02
4.909902958266217752e+02 3.102671632459776561e+02
4.949541041489395639e+02 3.072170522338296905e+02
4.989185278100771939e+02 3.041677550092269939e+02
5.028823484770605319e+02 3.011176786590950769e+02
5.068461712695570327e+02 2.980676135573085048e+02
5.108099903356300047e+02 2.950175563542253485e+02
5.147738048723979318e+02 2.919675013724577752e+02
5.187376117280672361e+02 2.889174454913549539e+02
5.227014064187144413e+02 2.858673853169690915e+02
5.266651857653301931e+02 2.828173177494979882e+02
5.306295529342962709e+02 2.797680321273674622e+02
5.345932919020867757e+02 2.767179347745826590e+02
5.385570059936530924e+02 2.736678176720165538e+02
5.425206906998964769e+02 2.706176769720768789e+02
5.464843510454725219e+02 2.675675035481656323e+02
5.504479888724901002e+02 2.645172987573229193e+02
5.544116060262041401e+02 2.614670604270776266e+02
5.583752047419745850e+02 2.584167929046918744e+02
5.623393886130583041e+02 2.553672909660832318e+02
5.663029514436029785e+02 2.523169645392630969e+02
