x y
4.814978050301539270e+02 4.831980281158488424e+02
4.776455071532438978e+02 4.863838857842795846e+02
4.737921130979891586e+02 4.895685568524858695e+02
4.699383092986188899e+02 4.927528727804466939e+02
4.660841448777189271e+02 4.959368980762757246e+02
4.622296717073523951e+02 4.991206933387487084e+02
4.583755737045227647e+02 5.023050929471925201e+02
4.545206302358706694e+02 5.054886172006902143e+02
4.506655274580920718e+02 5.086720988210314545e+02
4.468103171908322793e+02 5.118555991252587205e+02
4.429550460212824419e+02 5.150391812764916040e+02
4.390997653961252354e+02 5.182229097360315109e+02
4.352451632096807543e+02 5.214076158192683579e+02
4.313900174653175554e+02 5.245918179873117424e+02
4.275350116927945123e+02 5.277763523411601909e+02
4.236801977429361159e+02 5.309612810346771994e+02
4.198256272869965642e+02 5.341466649020251225e+02
4.159719843375228265e+02 5.373333374893735481e+02
4.121180443683018666e+02 5.405198232027848917e+02
4.082645084464303977e+02 5.437069425268530267e+02
4.044114810963987452e+02 5.468946543664595765e+02
4.005589836049216501e+02 5.500828657379562401e+02
3.967069667564340989e+02 5.532715238984053485e+02
3.928560221164563018e+02 5.564613442007632784e+02
3.890048299565662546e+02 5.596507304807214496e+02
3.851539826049373687e+02 5.628403974706964163e+02
3.813034336888741791e+02 5.660302892767872436e+02
3.774531370941832620e+02 5.692203527970475534e+02
3.736036862098670781e+02 5.724113019018050181e+02
3.697537598874959031e+02 5.756015396266722064e+02
3.659039509660038902e+02 5.787917819607490628e+02
3.620542138893230231e+02 5.819819727069500459e+02
3.582045014004372092e+02 5.851720577338837757e+02
3.543547691222855747e+02 5.883619825334417328e+02
3.505056103118997157e+02 5.915524599422117262e+02
3.466557028428061358e+02 5.947418950079252227e+02
3.428056390928583710e+02 5.979310033040092094e+02
3.389553746663046923e+02 6.011197283580880821e+02
3.351048619602879626e+02 6.043080165268191877e+02
3.312546946515752779e+02 6.074965831514292631e+02
3.274035534557632445e+02 6.106838291293403245e+02
3.235520265704993790e+02 6.138704725115048859e+02
3.197000726034450508e+02 6.170564571960527473e+02
