x y
4.895568746151672599e+02 4.929654723273052355e+02
4.857013905719354057e+02 4.961500693963386652e+02
4.818449670745350772e+02 4.993333503389058023e+02
4.779889249956272010e+02 5.025169196821715900e+02
4.741326810978576987e+02 5.057000673216136875e+02
4.702756458680318019e+02 5.088820866719609057e+02
4.664191437310445849e+02 5.120645801380463809e+02
4.625625894911120213e+02 5.152468402119272923e+02
4.587053954026833367e+02 5.184281578324116708e+02
4.548488838944654162e+02 5.216101388556222673e+02
4.509924686401939766e+02 5.247920722143114745e+02
4.471355664729953787e+02 5.279732495276989539e+02
4.432794958666900129e+02 5.311552782445123739e+02
4.394236730892571359e+02 5.343374466133133183e+02
4.355675107469668319e+02 5.375190464215837665e+02
4.317123334796179961e+02 5.407016824898287268e+02
4.278575519012902078e+02 5.438846480602721840e+02
4.240025802515499436e+02 5.470672313795703303e+02
4.201487472592929748e+02 5.502510358752438151e+02
4.162954505079840715e+02 5.534353645265387058e+02
4.124419946828837737e+02 5.566195397404512732e+02
4.085895569515337229e+02 5.598051078520308010e+02
4.047374615376188558e+02 5.629912367320935118e+02
4.008850246251659541e+02 5.661771012332920918e+02
3.970334756680453552e+02 5.693641877457505416e+02
3.931821300977073292e+02 5.725516717348871225e+02
3.893303067969324047e+02 5.757387246351306658e+02
3.854792359748311128e+02 5.789268331971752559e+02
3.816282321253478358e+02 5.821151736471621234e+02
3.777766142935938660e+02 5.853029172700048548e+02
3.739256131948396842e+02 5.884915502098605202e+02
3.700745428603888172e+02 5.916802482338612208e+02
3.662227229888248417e+02 5.948681830713325098e+02
3.623713822806919325e+02 5.980568426906831974e+02
3.585198371393260004e+02 6.012454005361987583e+02
3.546674057805075790e+02 6.044330297215708470e+02
3.508153172024146897e+02 6.076212169539394381e+02
3.469628883235361627e+02 6.108091362362430345e+02
3.431094375299917374e+02 6.139959605269102667e+02
3.392561937365957192e+02 6.171831774132126611e+02
3.354024710994302723e+02 6.203699615117636768e+02
3.315475914802099737e+02 6.235554827218560376e+02
3.276927814011500004e+02 6.267412315906935873e+02
3.238373584371461220e+02 6.299263788966304674e+02
3.199806420112589080e+02 6.331101001888820292e+02
3.161238581653448705e+02 6.362938800939481325e+02
3.122663217660455075e+02 6.394768980807675689e+02
3.084073898166875551e+02 6.426582995506826137e+02
3.045484129518180225e+02 6.458395677532246282e+02
3.006888093821749521e+02 6.490199582341547284e+02
2.968279752497551272e+02 6.521987437145694457e+02
2.929672201467672039e+02 6.553775111406172300e+02
2.891059422970117794e+02 6.585555325121736132e+02
2.852435429376056391e+02 6.617320781698441579e+02
2.813813285776262205e+02 6.649087349431373468e+02
2.775186989885979187e+02 6.680847761925377881e+02
2.736550552220609234e+02 6.712594687595980076e+02
2.697917051540550801e+02 6.744344028071295725e+02
2.659191652425097345e+02 6.775980267391498728e+02
2.620444543749682680e+02 6.807588845988466346e+02
2.581688755480145119e+02 6.839185650825631910e+02
2.542937326212521043e+02 6.870786591754622350e+02
2.504177928839695539e+02 6.902376626353021720e+02
2.465417256510896777e+02 6.933963927345877210e+02
2.426662016036274281e+02 6.965556659024928194e+02
2.387899863055785659e+02 6.997139798417558723e+02
2.349137490298950581e+02 7.028721514897046063e+02
2.310381600644389550e+02 7.060309959486210118e+02
2.271619868382927621e+02 7.091890110225929220e+02
2.232865326737465352e+02 7.123477861126616517e+02
2.194105652111717291e+02 7.155058196634063279e+02
2.155347514081734630e+02 7.186639278556718864e+02
2.116597632004767320e+02 7.218229262456850392e+02
2.077843666527506912e+02 7.249813119215737061e+02
2.039098687581555396e+02 7.281406740790572485e+02
2.000350511111445257e+02 7.312995069822173946e+02
1.961605992906014535e+02 7.344586373594676161e+02
1.922871906831379647e+02 7.376188986535978529e+02
1.884136037803019690e+02 7.407788007559092875e+02
1.845405189786726510e+02 7.439391764506500522e+02
1.806686168203250986e+02 7.471008553983813272e+02
1.767966739750631291e+02 7.502623511493879960e+02
1.729266409858192333e+02 7.534260402000704744e+02
1.690566579852724090e+02 7.565896628421861578e+02
1.651874080018190512e+02 7.597540484966169743e+02
1.613189346910917834e+02 7.629192571967462300e+02
1.574512853976075917e+02 7.660853455821068110e+02
1.535851406157682391e+02 7.692531454999361813e+02
1.497192757893016051e+02 7.724211691207482318e+02
1.458543735000192214e+02 7.755902473873583176e+02
1.419904767606405471e+02 7.787604398441819740e+02
1.381276332612400779e+02 7.819318028232528377e+02
1.342665259575646246e+02 7.851051661207275174e+02
1.304059273035022670e+02 7.882790461785455136e+02
1.265465188145088860e+02 7.914542721497803086e+02
